ano,pais,quantidade_exportacao,valor_exportacao,valor_exportacao_por_litro,producao_brasileira,percentual_exportacao
2007,Russia,266400,173160,0.65,318464392,0.08365142436395212
2007,Sao Tome e Principe,0,0,0.0,318464392,0.0
2007,Sao Vicente e Granadinas,0,0,0.0,318464392,0.0
2007,Senegal,0,0,0.0,318464392,0.0
2007,Serra Leoa,0,0,0.0,318464392,0.0
2007,Singapura,0,0,0.0,318464392,0.0
2007,Suazilandia,0,0,0.0,318464392,0.0
2007,Suecia,919,2448,2.66,318464392,0.0002885722935077778
2007,Suica,26090,70716,2.71,318464392,0.008192438669878043
2007,Suriname,2700,4603,1.7,318464392,0.0008478184901751906
2007,Tailandia,839,2020,2.41,318464392,0.0002634517456507351
2007,Taiwan,6377,11214,1.76,318464392,0.0020024216710545144
2007,Tanzania,0,0,0.0,318464392,0.0
2007,Republica Tcheca,85303,189620,2.22,318464392,0.026785726173116396
2007,Togo,11,11,1.0,318464392,3.4540753303433687e-06
2007,Trindade e Tobago,0,0,0.0,318464392,0.0
2007,Tunisia,0,0,0.0,318464392,0.0
2007,Turquia,0,0,0.0,318464392,0.0
2007,Tuvalu,0,0,0.0,318464392,0.0
2007,Uruguai,0,0,0.0,318464392,0.0
2007,Vanuatu,0,0,0.0,318464392,0.0
2007,Venezuela,20700,27370,1.32,318464392,0.006499941758009793
2007,Vietna,0,0,0.0,318464392,0.0
2008,Afeganistao,0,0,0.0,334841312,0.0
2008,Africa do Sul,0,0,0.0,334841312,0.0
2008,Alemanha,265742,429970,1.62,334841312,0.07936356431431019
2008,Angola,25721,71083,2.76,334841312,0.0076815491632048075
2008,Anguilla,0,0,0.0,334841312,0.0
2008,Antigua e Barbuda,0,0,0.0,334841312,0.0
2008,Antilhas Holandesas,17938,22908,1.28,334841312,0.0053571645305224465
2008,Argentina,0,0,0.0,334841312,0.0
2008,Aruba,0,0,0.0,334841312,0.0
2008,Australia,218726,99280,0.45,334841312,0.0653222861580473
2008,Austria,0,0,0.0,334841312,0.0
2008,Bahamas,0,0,0.0,334841312,0.0
2008,Bangladesh,0,0,0.0,334841312,0.0
2008,Barbados,0,0,0.0,334841312,0.0
2008,Barein,0,0,0.0,334841312,0.0
2008,Belgica,3523,12969,3.68,334841312,0.0010521401851394012
2008,Belize,0,0,0.0,334841312,0.0
2008,Benin,10350,17423,1.68,334841312,0.003091016439452967
2008,Bolivia,3979,3990,1.0,334841312,0.0011883240978341405
2008,Bosnia-Herzegovina,0,0,0.0,334841312,0.0
2008,Brasil,0,0,0.0,334841312,0.0
2008,Bulgaria,0,0,0.0,334841312,0.0
2008,Cabo Verde,0,0,0.0,334841312,0.0
2008,Camaroes,0,0,0.0,334841312,0.0
2008,Canada,20949,80476,3.84,334841312,0.0062563964628116146
2008,Catar,0,0,0.0,334841312,0.0
2008,Ilhas Cayman,0,0,0.0,334841312,0.0
2008,Chile,0,0,0.0,334841312,0.0
2008,China,8689,25926,2.98,334841312,0.0025949605644837517
